id,lat,lon,name,status,country,location
1871,41.8880806,16.17700958,Italy - Vieste (ISPRA),active,Italy ,
2064,57.14400101,-2.080219984,Aberdeen,active,Spain,
2061,38.6931572,-9.415384293,Cascais,active,Portugal,
2060,47.87369919,-3.907380104,Concarneau,active,France,
2063,43.36860657,-8.397750854,La Coruna,active,Spain,
2058,46.15847778,-1.220736027,La Pallice,active,France,
2062,28.14670944,-15.40760899,Las Palmas,active,Spain,
2057,45.54999924,-1.066666961,Le Verdon,active,France,
2059,46.49735641,-1.793527961,Les Sables D Olonne,active,France,
2056,43.39524078,-1.681622982,St Jean-de-Luz,active,France,
2028,52.00728989,3.403201103,Europlatform,active,Netherlands,Netherlands
2027,52.09910965,4.263019085,Scheveningen,active,Netherlands,Netherlands
2030,53.47383881,5.396695137,Terschelling Noordzee,active,Netherlands,Netherlands
2558,38.25699997,22.07670021,Aigio,active,Greece,Greece
2559,31.21089935,29.92350006,Alexandria,active,Greece,Greece
2562,35.34899902,25.15299988,Hrakleio,active,Greece,Greece
2560,35.00400162,25.73900032,Ierapetra,active,Greece,Greece
2561,38.43059921,22.42259979,Itea,active,Greece,Greece
2361,36.11389923,28.06959915,Kalathos,active,Greece,Greece
2563,35.41899872,26.92200089,Kasos,active,Greece,Greece
2564,35.51399994,23.63699913,Kasteli,active,Greece,Greece
2037,39.79019928,19.90990067,Kerkira,active,Greece,Greece
2565,37.25999832,21.66399956,Kyparissia,active,Greece,Greece
2364,40.95819855,17.30139923,Monopoli,active,Greece,Greece
2036,37.93470001,23.62120056,Peiraias,active,Greece,Greece
2566,35.9272995,27.85750008,Plimiri,active,Greece,Greece
2567,40.47499847,25.46800041,Samothraki,active,Greece,Greece
2035,37.43799973,24.94109917,Syros,active,Greece,Greece
2363,40.63270187,22.90550041,Thessaloniki,active,Greece,Greece
2034,36.33580017,25.43540001,Vlychada,active,Greece,Greece
2362,38.4618988,23.59900093,Xalchida Notia,active,Greece,Greece
2568,37.78139877,20.90530014,Zakynthos,active,Greece,Greece
1621,38.70000076,-9.416669846,Cascais Tidal wave (Avg),active,,
1622,37.10190964,-8.673237801,Lagos (Avg),active,,
1623,38.44483948,-9.102013588,Sesimbra (Avg),active,,
1052,37.95133972,-8.875896454,Sines,active,,
1613,38.5,-8.5,B02 avg30,active,,
1614,38.5,-8,B02 avg300,active,,
1616,38.5,-7,B02 TS AlertLevel,active,,
1615,38.5,-7.5,B02 TS signal,active,,
2054,45.81000137,8.619999886,ARD-01,active,,
2052,33.61000061,-7.610000134,Casablanca,active,,
2038,38.78517914,15.19077015,Ginostra (TAD),active,,
