ID,lat,lon,name,status,COUNTRY
1028,-65.25,-64.27,Antarctica - Vernadsky ,active,
1029,18.0939,-62.4714,USA - Vieques_PR ,active,
1030,-18.1342,178.4236,Fiji Islands - Suva_Viti_Levu_FJ ,active,
1031,10.34,107.071,Viet Nam - Vung Tau ,active,
1032,-9.3898,119.2188,Indonesia - Waikelo ,active,
1033,-43.9458,-176.5608,New Zealand - Waitangi Chatham_NZ,active,
1034,19.29,166.618,USA - Wake_US ,active,
1038,-6.15,39.1833,Tanzania - Zanzibar ,active,
1043,45.7562,8.617,Tamosy Large Panel (Temp),active,
1044,46.5,8.617,Tamosy Large Panel (Press),active,
1047,44.62,8.63,Malpensa (Temp),active,
1048,44.62,8.93,Malpensa (Press),active,
1052,37.95134,-8.875896,Sines,active,
1056,-46.66528,161.0014,Station 55013 - ETD TASMAN SEA 2,active,
1090,44.471,155.736,Station 21419 - 209NM SE of KURIL ISLANDS,active,
1091,25.2,-87,"Station 42408 - 310 NM South-Southeast of New Orleans, LA",active,
1092,39.487,-70.594,"Station 44402 - 136NM SE of Fire Island, NY.",active,
1093,46.638,-170.79,"Station 46401 - East of ADAK, AK",active,
1094,42.903,-130.909,"Station 46405 - 325 NM West-Southwest of Newport, OR",active,
1095,-8.491,-125.023,"Station 46406 - 2,900 NM Southeast of Hawaii",active,
1096,55.301,-148.495,"Station 46409 - 240 NM Southeast of Kodiak, AK",active,
1097,40,-150,Station 46499 - DART Special Test ,active,
1098,-33.005,-172.985,"Station 54401 - 640NM Northeast of Auckland, New Zealand",active,
1268,-10.346,56.586,Mauritius - Agalega,active,
1271,-3.683,128.183,Indonesia - Ambon,active,
1272,69.317,16.15,Norway - Andenes,active,
1273,18.48,-66.702,Puerto Rico - Arecibo,active,
1275,52.232,-174.173,"USA - Atka, AK",active,
1277,48.84,-125.14,Canada - Bamfield,active,Canada
1278,30.326,-89.326,"USA - Bay Waveland Yacht Club, MS",active,
1280,43.36,-3.05,Spain - Bilbao3,active,
1281,1.45,125.2,Indonesia - Bitung,active,
1283,-20.444,57.711,Mauritius - Blue Bay,active,
1284,48.38,-4.5,France - Brest,active,
1286,29.768,-93.343,"USA - Calcasieu Pass, LA",active,
1289,49.65,-1.63,France - Cherbourg,active,
1290,-44.025,-176.369,New Zealand - Chatham Island,active,
1292,-7.75,109,Indonesia - Cilacap2,active,
1293,27.58,-97.217,"USA - Corpus Christi, TX",active,
1294,-24.221,113.397,Australia - Cape Cuvier Wharf,active,
1295,-3.8,55.667,Seychelles - Denis Island,active,
1296,49.93,1.085,France - Dieppe,active,
1297,-12.783,45.258,France - Dzaoudzi (Mayotte) FTP,active,
1298,-12.783,45.258,France - Dzaoudzi(Mayotte) GTS,active,
1302,18.334,-65.631,Puerto Rico - Fajardo,active,
1306,39,-0.15,Spain - Gandia,active,
1308,36.13,-5.35,UK - Gibraltar(GTS),active,
1309,29.263,-89.957,"USA - Grand Isle, LA",active,
1327,13.161,123.758,Philippines - Legaspi,active,
1328,49.482,0.106,France - Le Havre,active,
1329,-8.731,116.072,Indonesia - Lembar,active,
1334,-37.55,178.159,New Zealand - East Cape,active,
1336,61.933,5.117,Norway - Måløy,active,
1337,43.291,5.356,France - Marseille,active,
1338,7.106,171.373,Marshall Islands - Majuro,active,
1339,18.217,-67.159,Puerto Rico - Mayaguez,active,
1340,4.317,96.217,Indonesia - Meulaboh,active,
1344,41.048,-71.96,"USA - Montauk, NY",active,
1345,36.72,-3.52,Spain - Motril2,active,
1353,56.55,-61.68,Canada - Nain,active,Canada
1357,43.695,7.285,France - Nice,active,
1367,-0.95,100.367,Indonesia - Padang2,active,
1379,-8.283,111.733,Indonesia - Prigi2,active,
1397,-7.983,131.291,Indonesia - Saumlaki,active,
1400,26.42,-79.01,Bahamas - Settlement pt,active,
1410,1.363,172.93,Kiribati - Tarawa,active,
