ID,Name,Group,Latency,Status,Details,Last Date,Max. Time,Min. Time,lat,lon,status
1864,Italy - Reggio Calabria (ISPRA),ISPRA,20m,,Details, 09 Apr 2018 11:21, 09 Apr 2018 11:03, 28 Jun 2012 05:36,38.122,15.649,Active
1865,Italy - Salerno (ISPRA),ISPRA,18m,,Details, 09 Apr 2018 11:23, 09 Apr 2018 11:06, 28 Jun 2012 05:36,40.677,14.751,Active
1866,Italy - San Benedetto del Tronto (ISPRA),ISPRA,22m,,Details, 09 Apr 2018 11:19, 09 Apr 2018 11:06, 01 Jan 2012 00:02,42.955,13.890,Active
1867,Italy - Sciacca (ISPRA),ISPRA,18m,,Details, 09 Apr 2018 11:23, 09 Apr 2018 11:06, 28 Jun 2012 05:36,37.505,13.076,Active
1869,Italy - Trieste (ISPRA),ISPRA,53m,,Details, 09 Apr 2018 10:48, 09 Apr 2018 10:48, 28 Jun 2012 06:04,45.649,13.758,Active
1870,Italy - Venezia (ISPRA),ISPRA,20m,,Details, 09 Apr 2018 11:21, 09 Apr 2018 11:04, 01 Jan 2015 10:40,45.418,12.427,Active
2570,Italy - Venezia (ISPRA) TEST,ISPRA,20m,,Details, 09 Apr 2018 11:21, 09 Apr 2018 11:21, 01 Jan 2015 10:40,45.418,12.427,Active
2027,Scheveningen,NL,0m,,Details, 31 Dec 2018 22:50, 31 Dec 2018 22:50, 04 Dec 2013 00:10,52.099,4.263,Active
2030,Terschelling Noordzee,NL,0m,,Details, 31 Dec 2018 22:50, 31 Dec 2018 22:50, 04 Dec 2013 00:10,53.474,5.397,Active
2613,"Adak Island, AK",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,51.863,-176.632,Web
2641,"Alameda, CA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,37.772,-122.300,Web
2753,"Alexandria Bay, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,44.331,-75.935,Web
2747,"Algonac, MI",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,42.621,-82.527,Web
2614,"Alitak, AK",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,56.897,-154.248,Web
2719,"Alpena, MI",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,45.063,-83.429,Web
2744,"American Falls, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,43.081,-79.061,Web
2615,"Anchorage, AK",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,61.237,-149.890,Web
2787,"Annapolis, MD",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.983,-76.482,Web
2683,"Apalachicola, FL",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,29.727,-84.982,Web
2826,"Apra Harbor, Guam, United States of America",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,13.443,144.656,Web
2842,"Aransas Wildlife Refuge, TX",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,28.228,-96.797,Web
2661,"Arecibo, PR",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,18.481,-66.702,Web
2642,"Arena Cove, CA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.915,-123.711,Web
2745,"Ashland Ave, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,43.100,-79.060,Web
2819,"Astoria, OR",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,46.207,-123.768,Web
2616,"Atka, AK",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,52.232,-174.173,Web
2804,"Atlantic City, NJ",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,39.357,-74.418,Web
2843,"Baffin Bay, TX",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,27.297,-97.405,Web
2788,"Baltimore, MD",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,39.267,-76.578,Web
2782,"Bar Harbor, ME",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,44.392,-68.204,Web
2662,"Barbuda, Antigua and Barbuda",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,17.591,-61.821,Web
2800,"Bay Waveland Yacht Club, MS",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,30.325,-89.325,Web
2604,"Bayou La Batre Bridge, AL",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,30.406,-88.248,Web
2813,"Beaufort, NC",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,34.720,-76.670,Web
2809,"Bergen Point West Reach, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,40.637,-74.142,Web
2639,"Bermuda, Ferry Reach Channel, Bermuda",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,32.370,-64.695,Web
2640,"Bermuda, St. Georges Island, Bermuda",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,32.373,-64.703,Web
2766,"Berwick, Atchafalaya River, LA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,29.667,-91.238,Web
2789,"Bishops Head, MD",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.220,-76.039,Web
2844,"Bob Hall Pier, Corpus Christi, TX",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,27.580,-97.217,Web
2643,"Bolinas, Bolinas Lagoon, CA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,37.908,-122.679,Web
2795,"Boston, MA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,42.354,-71.050,Web
2678,"Brandywine Shoal Light, DE",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.987,-75.113,Web
2831,"Bridesburg, PA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,39.983,-75.075,Web
2675,"Bridgeport, CT",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,41.176,-73.184,Web
2711,"Buffalo, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,42.877,-78.891,Web
2767,"Bulk Terminal, LA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,30.190,-93.301,Web
